Location,Carpet Area,Transaction,Furnishing,Bathroom,Balcony,BHK,FlatFloor,TotalFloors,ParkingNumbers,Parking Type,SalePrice(in Crores),state
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,2.0,2.0,3.0,4.0,0,Not Available,0.435,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,4.0,4.0,0,Not Available,0.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,1.0,7.0,1,Covered,0.53,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,2.0,3.0,4.0,5.0,0,Not Available,1.0,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,7.0,8.0,0,Not Available,0.55,Gujarat
Ahmedabad,1262.0,Resale,Unfurnished,2.0,3.0,2.0,9.0,12.0,1,Covered,0.56,Gujarat
Ahmedabad,2010.0,Resale,Unfurnished,4.0,1.0,4.0,5.0,9.0,0,Not Available,2.09,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,3.0,5.0,0,Not Available,1.2,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,3.0,5.0,0,Not Available,1.25,Gujarat
Ahmedabad,670.0,Resale,Unfurnished,2.0,1.0,2.0,1.0,12.0,1,Covered,0.52,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,1.0,11.0,0,Not Available,1.3,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,5.0,11.0,0,Not Available,1.31,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,7.0,11.0,0,Not Available,1.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,2.0,12.0,0,Not Available,1.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,5.0,12.0,0,Not Available,1.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,6.0,7.0,0,Not Available,0.499,Gujarat
Ahmedabad,1319.7980741426175,New Property,Furnished,3.0,0.0,3.0,1.0,7.0,0,Not Available,1.3,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,3.0,6.0,0,Not Available,1.37,Gujarat
Ahmedabad,850.0,Resale,Semi-Furnished,2.0,1.0,2.0,2.0,12.0,0,Not Available,0.62,Gujarat
Ahmedabad,1250.0,Resale,Unfurnished,3.0,1.0,3.0,2.0,7.0,0,Not Available,1.3,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,2.0,5.0,0,Not Available,0.68,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,5.0,5.0,0,Not Available,0.69,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,3.0,1.0,5.0,0,Not Available,0.8,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,3.0,5.0,0,Not Available,0.8,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,2.0,2.0,1.0,5.0,0,Not Available,0.43,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,2.0,1.0,2.0,8.0,10.0,1,Covered,0.55,Gujarat
Ahmedabad,1000.0,Resale,Unfurnished,3.0,1.0,3.0,6.0,10.0,0,Not Available,0.7,Gujarat
Ahmedabad,2973.0,New Property,Unfurnished,4.0,1.0,4.0,1.0,15.0,1,Covered,2.02,Gujarat
Ahmedabad,1750.0,Resale,Semi-Furnished,3.0,1.0,3.0,4.0,7.0,2,Covered,1.5,Gujarat
Ahmedabad,1583.0,Resale,Semi-Furnished,3.0,2.0,3.0,12.0,16.0,1,Covered,1.68,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,2.0,3.0,4.178516216431588,8.257887013939838,1,Open,0.72,Gujarat
